frame_id,detector,tracked,inliers,detect_time
1,sift,1.0,0.9931972789115646,0.1347246170043945
2,sift,0.9891745602165088,0.9671682626538988,0.0951225757598877
3,sift,0.987218045112782,0.9482102056359482,0.0675437450408935
4,sift,0.9924242424242424,0.96793893129771,0.0700056552886962
5,sift,0.98,0.9727891156462584,0.0670113563537597
6,sift,0.9933530280649926,0.9732342007434944,0.0803210735321044
7,sift,0.9948942377826404,0.9772727272727272,0.0779130458831787
8,sift,0.9905109489051096,0.9653647752394988,0.0615284442901611
9,sift,0.9813153961136024,0.9847677075399848,0.0752637386322021
10,sift,0.9805097451274364,0.9525993883792048,0.066669225692749
11,sift,0.9891808346213292,0.94453125,0.0720255374908447
12,sift,0.943661971830986,0.9908789386401328,0.0701301097869873
13,sift,0.9896249002394254,0.9725806451612904,0.0696845054626464
14,sift,0.9770303527481542,0.980688497061293,0.0667240619659423
15,sift,0.973561430793157,0.9856230031948882,0.0650911331176757
16,sift,0.9754901960784312,0.9807370184254608,0.0690004825592041
17,sift,0.966131907308378,0.9695571955719556,0.0694851875305175
18,sift,0.9484536082474226,0.9447463768115942,0.0681269168853759
19,sift,0.933734939759036,0.9474654377880184,0.0606780052185058
20,sift,0.9711451758340848,0.9740018570102136,0.0822021961212158
21,sift,0.9533169533169532,0.961340206185567,0.0676827430725097
22,sift,0.9665831244778612,0.9559204840103716,0.0722506046295166
23,sift,0.9553119730185498,0.9629302736098851,0.0865354537963867
24,sift,0.9460154241645244,0.970108695652174,0.0717065334320068
25,sift,0.9761092150170648,0.9405594405594404,0.0722987651824951
26,sift,0.9823380992430614,0.925513698630137,0.081784963607788
27,sift,0.9681238615664846,0.93414863593603,0.0727581977844238
28,sift,0.9770723104056436,0.9449458483754511,0.0738639831542968
29,sift,0.9265734265734266,0.909433962264151,0.0717444419860839
30,sift,0.9021317829457364,0.9656283566058004,0.0809197425842285
31,sift,0.9906716417910448,0.9331450094161958,0.078066349029541
32,sift,0.9357959542656112,0.9699248120300752,0.0829615592956543
33,sift,0.9955396966993756,0.9650537634408602,0.0710048675537109
34,sift,0.9659574468085106,0.9286343612334802,0.0724809169769287
35,sift,0.984982332155477,0.9515695067264572,0.0675768852233886
36,sift,0.9468879668049792,0.971954425942156,0.0744454860687255
37,sift,0.9801324503311258,0.9425675675675677,0.0726590156555175
38,sift,0.9794745484400657,0.9756915339480302,0.0937159061431884
39,sift,0.9666666666666668,0.9613120269133726,0.0793347358703613
40,sift,0.9677966101694916,0.9544658493870404,0.0606932640075683
41,sift,0.9506920415224912,0.9608735213830756,0.0956926345825195
42,sift,0.9722222222222222,0.9510204081632652,0.0924685001373291
43,sift,0.8608695652173913,0.9753086419753086,0.0965621471405029
44,sift,0.9492988133764833,0.9761363636363636,0.1681990623474121
45,sift,0.9807692307692308,0.9598039215686276,0.0764262676239013
46,sift,0.9435850773430392,0.9720347155255544,0.0678541660308837
47,sift,0.9570552147239264,0.9587912087912088,0.0895731449127197
48,sift,0.9826539462272332,0.9002647837599294,0.2012042999267578
49,sift,0.9638336347197106,0.954033771106942,0.1342206001281738
50,sift,0.9306306306306308,0.9670861568247822,0.0595111846923828
51,sift,0.9842829076620824,0.969061876247505,0.0673599243164062
52,sift,0.9731369150779896,0.9768477292965272,0.0686945915222168
53,sift,0.9389632107023412,0.9652715939447908,0.1059846878051757
54,sift,0.9225490196078432,0.9702444208289054,0.2046232223510742
55,sift,0.9571129707112972,0.9114754098360656,0.0630948543548584
