sample_id,distance,dist_factor,trans_err,trans_perc_err,yaw_err,KF
1,87.01,dist1,128.57420411190094,147.76945651293062,18.668364948934244,no
2,87.01,dist1,119.39064157233295,137.21485067501777,8.816121799823398,no
3,87.01,dist1,112.78686325887315,129.62517326614545,2.1710877108102395,no
4,87.01,dist1,116.51448076143676,133.90929865697822,0.2072573632891043,no
5,87.01,dist1,105.28054643561926,120.99821449904522,0.0557168157737003,no
6,87.01,dist1,103.8900551973441,119.40013239552243,0.445156438310797,no
7,87.01,dist1,114.41512828101304,131.49652715896224,0.553586247872618,no
8,87.01,dist1,118.24772554972738,135.90130507956255,0.1637000879701364,no
9,87.01,dist1,121.45976327160488,139.5928781422881,0.5175938497172543,no
10,87.01,dist1,126.26038196194162,145.11019648539434,0.8362813541811088,no
11,87.01,dist1,116.58848596731777,133.99435233572893,0.3374823006489429,no
12,87.01,dist1,121.9756011934669,140.1857271502895,1.111751076704445,no
13,87.01,dist1,117.09867909445488,134.580713819624,0.8753889653310656,no
14,87.01,dist1,137.234504885735,157.72268116967587,0.8227236891436022,no
15,87.01,dist1,126.68685313418356,145.60033689711935,0.9535298468018638,no
16,87.01,dist1,130.57054832493452,150.06384131126828,0.4608182938036915,no
17,87.01,dist1,134.12150725198092,154.1449342052418,0.0775250542242519,no
18,87.01,dist1,152.9400272966892,175.77293103860384,1.6469525841290005,no
19,87.01,dist1,149.67931128132855,172.0254123449357,3.5250671446172914,no
20,87.01,dist1,159.58748935939062,183.4128138827613,3.931546619852101,no
21,87.01,dist1,166.28984400864098,191.1157844025296,11.639871004397456,no
22,87.01,dist1,152.39828391829806,175.1503090659672,136.11080558542267,no
23,87.01,dist1,133.66120089216702,153.6159072430376,175.1972107724007,no
24,87.01,dist1,115.29832695810194,132.51158137926896,179.7726604840928,no
25,87.01,dist1,95.95677574727712,110.28246839130802,175.2322951364138,no
26,87.01,dist1,75.47097153375378,86.73827322578299,171.2307710333588,no
27,87.01,dist1,66.69194858199484,76.64860197907693,171.13149040355762,no
28,87.01,dist1,64.88764277705714,74.57492561436287,171.47077479059342,no
29,87.01,dist1,65.30279510255524,75.05205735266662,173.92528568753596,no
30,87.01,dist1,65.36349714531109,75.12182179670278,176.76465310138303,no
31,87.01,dist1,68.81556235783613,79.08925681856812,175.7728931575528,no
32,87.01,dist1,46.36174151030136,53.28323354821441,163.88147019350956,no
33,87.01,dist1,24.83658199867492,28.544514422106555,127.525018813519,no
34,87.01,dist1,18.47321332123808,21.231138169449583,55.57221114621165,no
35,87.01,dist1,82.82037600105302,95.18489369159064,13.553170798806937,no
36,87.01,dist1,103.2888238214592,118.7091412727953,8.08153032981154,no
37,87.01,dist1,116.27631585538248,133.63557735361738,2.71136541984305,no
38,87.01,dist1,118.35950840682446,136.02977635538954,0.133376379881108,no
39,87.01,dist1,123.86030344918488,142.35180260795872,0.436755394909379,no
40,87.01,dist1,120.53163773758824,138.5261897915047,1.413665287104053,no
41,87.01,dist1,132.66853934004783,152.4750480864818,0.3006070950575895,no
42,87.01,dist1,118.23847089733223,135.89066877063811,0.3785490201121872,no
43,87.01,dist1,118.52498643726528,136.21995912799133,0.8327033778894192,no
44,87.01,dist1,115.85200786311708,133.14792306989662,2.819538332631097,no
45,87.01,dist1,103.37026426500644,118.8027402195224,3.2089627271616865,no
46,87.01,dist1,116.1980743446143,133.54565491853154,4.286112873279848,no
47,87.01,dist1,117.00015641981771,134.467482381126,3.244351661001918,no
48,87.01,dist1,114.4488693380306,131.53530552583678,1.3161263410712658,no
49,87.01,dist1,100.9417154594822,116.01162562864292,1.1839568998798364,no
50,87.01,dist1,110.35592054229392,126.83130736960568,0.8706709966839163,no
51,87.01,dist1,109.69837053553204,126.07558962824048,0.2476008520432344,no
52,87.01,dist1,120.91784373254544,138.97005370939596,2.721491670564279,no
53,87.01,dist1,120.78030723458454,138.81198394964318,25.85763185807023,no
54,87.01,dist1,112.15829369152202,128.90276254628435,145.3625019280918,no
55,87.01,dist1,100.11091482384084,115.05679212026298,172.08612974528626,no
56,87.01,dist1,86.7981729513088,99.7565486166059,168.05586878621608,no
57,87.01,dist1,60.84014418371435,69.92316306598592,160.09219733620313,no
58,87.01,dist1,52.64507617581906,60.50462725642921,159.51848427538417,no
59,87.01,dist1,54.38486621142862,62.50415608714932,159.34446118208098,no
60,87.01,dist1,61.13556362109476,70.26268661199259,163.33870918143893,no
61,87.01,dist1,89.87311169288944,103.29055475564812,168.88097093036163,no
62,87.01,dist1,136.03532964571153,156.3444772390662,170.68345071268112,no
63,87.01,dist1,144.27512428865694,165.81441706546022,136.41686146182735,no
64,87.01,dist1,161.1123473023285,185.16532272420235,74.65115598096014,no
65,87.01,dist1,154.11601574838042,177.12448655140835,37.95675919674838,no
66,87.01,dist1,136.44953591287629,156.82052167897515,8.730044216856765,no
67,87.01,dist1,115.16741869892212,132.3611294091738,3.4392643039859365,no
68,87.01,dist1,127.35082438307326,146.36343452829934,1.6210682386658413,no
69,87.01,dist1,115.11201284704792,132.29745184122274,1.2237868676894628,no
70,87.01,dist1,112.46979592493273,129.2607699401594,0.8498442164055896,no
71,87.01,dist1,110.58266940538782,127.09190829259605,0.5780167056788538,no
72,87.01,dist1,119.72638775605115,137.60072147575124,0.6349436990964673,no
73,87.01,dist1,118.94657826482788,136.70449174213064,1.1645839057376195,no
74,87.01,dist1,119.8487557825962,137.74135821468357,1.0935856847190708,no
75,87.01,dist1,142.31603201468502,163.56284566680267,0.8920059515974368,no
76,87.01,dist1,132.05429054135325,151.76909612843724,0.991278907445744,no
77,87.01,dist1,138.30072186557402,158.94807707800717,0.993527000949208,no
78,87.01,dist1,128.29323763436778,147.44654365517502,1.161551442146786,no
79,87.01,dist1,133.5945308281632,153.53928379285503,1.0605274186272666,no
80,87.01,dist1,108.692688756109,124.91976641318124,0.1387603468701203,no
1,174.03,dist2,273.3005588678651,157.04221046248642,17.6009510469837,no
2,174.03,dist2,273.4076667798078,157.1037561223972,7.700825359579001,no
3,174.03,dist2,241.2571164521528,138.62961354487894,1.8200686104159505,no
4,174.03,dist2,236.12443351595948,135.6803042670571,1.1293668675873885,no
5,174.03,dist2,223.74611605597457,128.5675550514133,0.9641317727528824,no
6,174.03,dist2,241.66499963096047,138.86398875536432,1.2862916880269175,no
7,174.03,dist2,244.2579892922265,140.35395580774954,1.0284431486221706,no
8,174.03,dist2,250.43798839342517,143.9050671685486,0.2384343840848458,no
9,174.03,dist2,261.2294512429944,150.1059881876656,1.2522739091525854,no
10,174.03,dist2,261.720714346135,150.38827463433603,1.2253634592086455,no
11,174.03,dist2,277.0116475057478,159.1746523620915,3.5833354578536114,no
12,174.03,dist2,279.9066667524015,160.83816971349853,5.078568974237346,no
13,174.03,dist2,287.0955217036342,164.96898333829463,23.801578155447825,no
14,174.03,dist2,284.29535546932175,163.3599698151593,57.53076116111686,no
15,174.03,dist2,275.97546068708806,158.579245352576,127.80497859110169,no
16,174.03,dist2,258.43510347597856,148.50031803480928,173.50108604115604,no
17,174.03,dist2,216.3064077012314,124.2925976562842,175.7264297123485,no
18,174.03,dist2,181.54359651111992,104.31741453262076,173.30021802641488,no
19,174.03,dist2,167.16041251738028,96.05264179588592,173.69755259301937,no
20,174.03,dist2,127.13171194790964,73.0516071642301,171.32192405622035,no
21,174.03,dist2,100.09690069762836,57.51703769328758,171.74364254775807,no
22,174.03,dist2,55.08016193811637,31.649808618121227,171.54736169909145,no
23,174.03,dist2,50.64129109881648,29.09917318785065,171.5302122862549,no
24,174.03,dist2,63.15547140644544,36.28999103973191,171.67878425147694,no
25,174.03,dist2,75.60603140518515,43.44425179864688,172.54823515194855,no
26,174.03,dist2,106.36713776870047,61.1200010163193,171.44607562979644,no
27,174.03,dist2,116.58961937228544,66.99397768906825,171.51439503272792,no
28,174.03,dist2,134.6417821171149,77.36699541292587,172.62602166511928,no
29,174.03,dist2,146.48236416586423,84.17075456292837,175.36220189640392,no
30,174.03,dist2,144.50780539321823,83.03614629271863,178.29639720408005,no
31,174.03,dist2,133.82907569726427,76.90000327372537,174.58991137956903,no
32,174.03,dist2,85.16961367224556,48.9396159698015,160.85942945733376,no
33,174.03,dist2,31.09846159729721,17.86959811371442,123.702213859785,no
34,174.03,dist2,30.35646995502352,17.44323964547694,58.223100481788336,no
35,174.03,dist2,145.9457595312261,83.86241425686725,17.53778752170892,no
36,174.03,dist2,184.9374590328259,106.26757400035964,11.147674806424888,no
37,174.03,dist2,224.03418397521747,128.7330827875754,5.814568023972807,no
